,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,-0.07341072718687781,0.006852211520941253,0.01681271004710667,-0.052883478026052644,0.1826081024959707,-0.03527748634768862,-0.0007780267376279774,-0.1295993941027175,0.3347366057187558,-0.17460835768884253,-0.08386982606203329
energy,-0.07341072718687781,1.0,0.012852782991576864,0.6856702004415464,-0.008068982175590007,-0.025860329405949296,-0.551350315756921,0.020237671570980612,0.16632934248909131,0.15003811967560604,0.15206992195664895,0.019834049625194368
key,0.006852211520941253,0.012852782991576864,1.0,-0.00018442810485942544,-0.17421487716686926,0.019635675073607674,0.005060371574762201,0.0068088237211501425,0.004605000355858511,0.02224596621069662,-0.007304524089358881,0.017410967908707473
loudness,0.01681271004710667,0.6856702004415464,-0.00018442810485942544,1.0,-0.01822258668766836,0.012583412368452238,-0.3772656814432715,-0.16156234285053578,0.08557699969128064,0.055693431340137926,0.09897890439020675,-0.09619416546758398
mode,-0.052883478026052644,-0.008068982175590007,-0.17421487716686926,-0.01822258668766836,1.0,-0.05662099733311764,0.008507546229062584,-0.006410287413642798,-0.001027990340909582,-0.005053318366872389,0.013934888709069341,0.010431505676328627
speechiness,0.1826081024959707,-0.025860329405949296,0.019635675073607674,0.012583412368452238,-0.05662099733311764,1.0,0.024066736627488112,-0.11131251423538052,0.0586510511478964,0.07209410043271111,0.032682130393552764,-0.1004527387947815
acousticness,-0.03527748634768862,-0.551350315756921,0.005060371574762201,-0.3772656814432715,0.008507546229062584,0.024066736627488112,1.0,-0.003764414427931841,-0.07451194479065165,-0.01696595139396937,-0.11651376882109533,-0.09555375732391522
instrumentalness,-0.0007780267376279774,0.020237671570980612,0.0068088237211501425,-0.16156234285053578,-0.006410287413642798,-0.11131251423538052,-0.003764414427931841,1.0,-0.012740735910625989,-0.17138588952550246,0.019712940283012174,0.06297799053528842
liveness,-0.1295993941027175,0.16632934248909131,0.004605000355858511,0.08557699969128064,-0.001027990340909582,0.0586510511478964,-0.07451194479065165,-0.012740735910625989,1.0,-0.02040742756421399,0.020030406329212047,0.006008070690990755
valence,0.3347366057187558,0.15003811967560604,0.02224596621069662,0.055693431340137926,-0.005053318366872389,0.07209410043271111,-0.01696595139396937,-0.17138588952550246,-0.02040742756421399,1.0,-0.02168015634195108,-0.04075647419271421
tempo,-0.17460835768884253,0.15206992195664895,-0.007304524089358881,0.09897890439020675,0.013934888709069341,0.032682130393552764,-0.11651376882109533,0.019712940283012174,0.020030406329212047,-0.02168015634195108,1.0,0.0010211198327153641
duration_ms,-0.08386982606203329,0.019834049625194368,0.017410967908707473,-0.09619416546758398,0.010431505676328627,-0.1004527387947815,-0.09555375732391522,0.06297799053528842,0.006008070690990755,-0.04075647419271421,0.0010211198327153641,1.0
