,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
danceability,-0.026665949450073504,0.5912516098149856,0.0060069878496642444,-0.3397710940116125,-0.08576891914338569,0.2618115835932881,0.08124559524443091,0.004243006915862214,0.017575408858366497,-0.37992355537581146,0.525178791148213,0.17676524702396793
energy,0.6115627560566541,-0.03586621153546787,0.017989922884936754,-0.088844625927077,-0.011836831376553008,0.05304190884373447,-0.058768440054104615,0.05171583710063225,0.01118670763249403,0.2758005184602279,-0.051513409088465245,0.7270220723212036
key,0.007710140535848177,0.0716923394904078,0.6787938408805506,0.06349306989476798,0.05173258355193424,-0.24244319324725255,-0.038630395395008704,0.37168299061098237,0.5695525120940661,-0.06296144870333371,0.022784268223449006,-0.0062823406891534955
loudness,0.5547693628335798,0.07048285822662374,-0.04641683294103288,0.05441235473611287,-0.07093029216637711,-0.07455718234069464,-0.24766020044013562,-0.11273128766398158,0.07370501661207024,0.30182203570902977,0.4493138344124205,-0.5469023712105167
mode,-0.014631529478300487,-0.12848341634922203,-0.6762008256409437,-0.09782997986286829,0.08459557610955917,0.018594365510503287,0.09680664337618393,0.30931317251816254,0.6339834901414707,-0.023629831180802842,0.037623800715135526,-0.0015351273525843617
speechiness,0.006406659982562846,0.3628069852194252,0.04516627369581545,0.4338423694698872,-0.051251881033484395,0.3692139330293927,0.4159967219609648,-0.38451522538453325,0.33014552913768536,0.2694246450587902,-0.18999745691697262,-0.023134261608778406
acousticness,-0.49107265472330086,0.05655738888114754,-0.04567531426379337,0.23743699617614056,0.022132993310632853,-0.09637508363177696,-0.08322039111334208,0.19768956374186925,-0.10149000294175663,0.5879816157340868,0.4748310005013622,0.24477427282452108
instrumentalness,-0.07907249345917335,-0.290055734297444,0.20595942108696952,-0.3854408500698818,-0.33612359937031383,0.6456259955094268,0.048577394880610726,0.2669151473115096,0.000978226764950895,0.2840811815079445,-0.0499035750352188,-0.1789479785789483
liveness,0.1626336699893754,-0.12990521979904873,0.04467192784810531,0.3985541564807963,0.6116591846641616,0.45232180328178484,0.02552957028111448,0.3339288075182637,-0.19204002009506427,-0.2043657885950626,0.15464515447326457,-0.04890683432085685
valence,0.10944404745722336,0.5262007629211023,-0.09597657162295373,-0.1896708704123472,0.15025044238349083,-0.17805040179451279,0.2365185295620576,0.4811757010187906,-0.277299492840637,0.2748024824135325,-0.356268523788219,-0.211804936176333
tempo,0.17709611905463232,-0.21457512883422164,-0.018559984699825623,0.2940540268580717,-0.48417686514072106,-0.19657133249268977,0.6096445148419187,0.2604103666913315,-0.18435939220017802,-0.1880737332135767,0.23206188207946646,0.00467805236013441
duration_ms,-0.000863962015761291,-0.25249646519348723,0.14621920242932115,-0.43087243337203424,0.4800153276437046,-0.16303608666952557,0.5542094707241215,-0.2859149538115084,0.027356749128318113,0.17973721205356452,0.2212849509730937,-0.036080665263381995
